product_erp_id;num_declaration
3406;48204/21
3405;48204/21
41966;48204/21
3402;48204/21
3404;48204/21
3403;48204/21
3410;48204/21
21996;48204/21
3407;48204/21
3408;48204/21
41965;48204/21
27935;48204/21
21995;48204/21
24158;48204/21
12744;07522/20
12589;07522/20
30605;07522/20
31553;07522/20
24755;14789/20
43585;14789/20
24754;14789/20
42557;68480/23
2769;24321/22
45060;24321/22
2770;24321/22
2647;24321/22
31443;24321/22
2646;24321/22
2713;24321/22
41580;70395/22
4418;14788/20
41581;14788/20
45606;14788/20
4419;14788/20
8277;14788/20
4549;14790/20
4550;14790/20
4443;14790/20
4444;14790/20
4473;14790/20
3248;14791/20
31480;14791/20
3249;14791/20
31481;14791/20
3308;14791/20
31476;14791/20
3309;14791/20
31477;14791/20
3247;14791/20
31478;14791/20
3246;14791/20
31479;14791/20
45094;27987/23
45096;27987/23
45097;27987/23
45098;27987/23
45508;27974/23
45509;27974/23
45504;27974/23
45505;27974/23
45506;27974/23
45507;27974/23
40877;45055/21
40518;06214/22
5012;94368/21
5010;94368/21
1711;94368/21
2086;94368/21
30606;57876/21
27979;57876/21
30607;57876/21
30609;57876/21
27981;57876/21
27982;57876/21
30610;57876/21
28288;70072/21
27154;70072/21
21420;91785/21
41967;91785/21
21421;91785/21
41968;91785/21
34291;91785/21
34292;91785/21
34038;91814/21
38278;91814/21
45616;91814/21
36822;91814/21
37794;47416/21
37795;91814/21
36591;91814/21
36920;91814/21
44972;91814/21
44971;91814/21
44973;91814/21
21419;77332/21
32957;53096/21
44874;004.02 01814
39816;004.02 01814
44090;004.02 01814
39096;004.02 01814
36146;77322/23
8362;06708/21
8349;22319/23
12365;22319/23
31164;22319/23
19390;22319/23
28588;22319/23
33187;22319/23
36948;91751/23
40876;?????
33461;91751/23
36949;91751/23
45792;03754/23
44516;01424/23
44517;01424/23
44518;01424/23
33408;00687/19
43756;17870/22
532;52137/22
43755;00435/19
39905;76710/23
39906;76710/23
39193;03711/20
34293;03711/20
33481;04335/19
44851;04335/19
40879;06056/19
40878;02052/23
45182;02052/23
45183;02052/23
41664;40616/23
5040;01586/19
38460;?????
45066;14751/19
45961;14751/19
42242;40212/21
42243;40212/21
38720;?????
38318;?????
38317;?????
35981;?????
35980;?????
35982;?????
35979;?????
40335;?????
37242;?????
37241;?????
39780;?????
39781;?????
39782;?????
43238;?????
43237;?????
43240;?????
43239;?????
31620;72721/22
