number_declaration;start_date;due_date;file_name
?????;2000-01-01;2000-01-01;НЕ ЗАГРУЖЕН
testNum1;2000-01-01;2000-01-01;testFile1.txt
testNum2;2000-01-01;2000-01-01;testFile2.txt
testNum3;2000-01-01;2000-01-01;testFile3.txt
48204/21;2021-04-30;2024-04-29;Acenorca.Оливки.Маслины(04.2024).pdf
07522/20;2020-03-03;2023-03-03;Hagimex.Ананасы(03.2023).pdf
70395/22;2022-03-25;2025-03-24;Junyali.Персики(03.2025).pdf
08130/20;2020-02-19;2023-02-18;Koliate.Ананасы(02.2023).pdf
24321/22;2022-06-16;2025-06-14;Koliate.Ананасы(06.2025).pdf
68480/23;2023-03-23;2026-03-22;Koliate.КокосовоеМолоко(03.2026).pdf
14789/20;2020-12-07;2023-12-06;Koliate.Манго.Коктейль(12.2023).pdf
14790/20;2020-12-07;2023-12-06;PakShing.Грибы консервированные(12.2023).pdf
14791/20;2020-12-07;2023-12-06;PakShing.Грибы маринованные(12.2023).pdf
14788/20;2020-12-07;2023-12-06;PakShing.Персики(12.2023).pdf
27987/23;2023-08-08;2026-08-07;Xixia.Грибы консервированные(08.2026).pdf
27974/23;2023-08-08;2026-08-07;Xixia.Грибы маринованные(08.2026).pdf
06214/22;2022-10-03;2026-04-29;АгроЮг.МаринадыОвощные(04.2026).pdf
45055/21;2021-04-29;2026-04-28;АгроЮг.ОгурцыЗелень(04.2026).pdf
06708/21;2021-09-24;2024-09-23;Албаши.Лечо(09.2024).pdf
94368/21;2021-02-12;2024-02-11;Белгород.Фасоль(02.2024).pdf
17870/22;2022-07-27;2025-07-27;БондюэльКубань.Горошек(07.2025).pdf
00435/19;2019-09-19;2022-09-19;БондюэльКубань.Кукуруза21(09.2022).pdf
52137/22;2022-03-17;2025-03-17;БондюэльКубань.Кукуруза22(03.2025).pdf
004.02 01814;2022-01-14;2027-01-13;Вастега.ОливкиМаслины (01.2027).pdf
04131/20;2022-12-25;2023-12-24;Георгиевский.Горох(12.2023).pdf
57876/21;2021-10-14;2024-10-10;Давыдовка.ЗакускиОвощные(10.2024).pdf
70072/21;2021-10-15;2024-10-13;Давыдовка.Икра(10.2024).pdf
53096/21;2021-11-22;2024-11-10;Домат.ИкраКабачки(11.2024).pdf
91814/21;2021-04-05;2024-04-04;Домат.МаринадыОвощные(09.2024).pdf
77332/21;2021-03-29;2024-03-28;Домат.ПастаТоматная(03.2024).pdf
47416/21;2021-09-15;2024-09-08;Домат.ТоматыЗаливка(09.2024).pdf
47446/21;2021-09-15;2024-09-08;Домат.ТоматыМаринованныеГОСТ(08.2023).pdf
91785/21;2021-04-05;2024-04-04;Домат.ФасольКонсервированная(04.2024).pdf
76710/23;2023-06-20;2025-06-19;ЗдороваяЕда.КонсервыЗакусочные(06.2025).pdf
40616/23;2023-08-11;2027-08-10;КубаньКонсервПрод.Кукуруза(08.2027) new.jpg
22319/23;2023-04-14;2026-04-13;Кубаньпродтрорсервис.Томатная паста(04.2026).pdf
77322/23;2023-08-24;2025-08-22;КФХСибековАЖ.Ассорти(08.2025).jpg
03754/23;2023-04-06;2028-04-05;МвФуд.Соевыесоусы (04.2028).pdf
01424/23;2023-04-05;2028-04-05;МвФуд.Соусы(04.2028).pdf
91751/23;2023-07-10;2025-07-09;Налмэс.МаринадыОвощные(07.2025).pdf
01586/19;2019-12-11;2024-12-11;ОстПрод.Кетчупы(12.2024).pdf
04335/19;2019-06-20;2023-06-19;Пищевик.Горох(06.2023).pdf
06056/19;2019-08-23;2023-08-22;Пищевик.Кукуруза(08.2023).pdf
02052/23;2023-08-01;2026-07-31;Пищевик.МаринадыОвощные(07.2026).pdf
00687/19;2029-04-01;2024-03-31;Поречье.Горох(03.2024).pdf
40212/21;2021-04-27;2026-04-20;Состра.СоусыСоевые(04.2026).pdf
14751/19;2019-06-04;2024-06-03;ТульскийПродукт.ПродуктыТоматные(06.2024).pdf
72721/22;2022-09-21;2025-09-19;Юнона.Лечо(09.2025).pdf
03711/20;2020-10-27;2023-10-26;Георгиевский.Овощная икра(10.2023).pdf
